epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21763,1.26516,2.29554,1.32274,0.89897,0.33333,0.42766,0.34526,0.72953,2.06563,1.0626,0,0,0
2,12.0408,1.46923,2.22933,1.46104,0.88933,0.33333,0.45112,0.36715,0.69374,2.0216,1.04765,1.967e-05,1.967e-05,1.967e-05
3,17.3676,1.10206,2.19877,1.28397,0.94162,0.33333,0.53305,0.40277,0.69573,2.00153,1.04071,3.868e-05,3.868e-05,3.868e-05
4,22.6242,1.13414,1.73164,1.33462,0.47494,0.88889,0.62729,0.4135,0.78138,2.04509,1.1746,5.703e-05,5.703e-05,5.703e-05
5,27.8676,0.78885,1.38834,1.11221,0.52936,0.87566,0.63916,0.4042,0.86096,2.30267,1.27511,7.472e-05,7.472e-05,7.472e-05
6,33.7195,0.71536,1.16433,1.07517,0.6827,0.95838,0.72423,0.47717,0.87291,2.50472,1.31422,9.175e-05,9.175e-05,9.175e-05
7,39.8434,0.69386,0.94984,1.03958,0.58564,1,0.68071,0.44211,0.85503,2.92969,1.25894,0.00010812,0.00010812,0.00010812
8,45.6172,0.5883,0.82053,0.97954,0.6272,1,0.72105,0.44768,0.85166,2.9666,1.22227,0.00012383,0.00012383,0.00012383
9,51.7813,0.62711,0.80754,1.02305,0.74579,1,0.9455,0.60561,0.91604,2.85745,1.29572,0.00013888,0.00013888,0.00013888
10,57.5377,0.56626,0.7395,0.98112,0.95583,1,0.995,0.70455,0.86507,3.11497,1.20724,0.00015327,0.00015327,0.00015327
11,63.3183,0.56315,0.72752,0.92115,0.95184,1,0.995,0.75563,0.71935,3.43617,1.02608,0.000167,0.000167,0.000167
12,69.2433,0.58942,0.63876,0.96976,0.85734,1,0.995,0.77303,0.68464,3.06369,0.98743,0.00018007,0.00018007,0.00018007
13,74.743,0.5073,0.55783,0.91678,0.77615,1,0.995,0.80724,0.68917,2.72977,0.98744,0.00019248,0.00019248,0.00019248
14,80.4996,0.54244,0.55735,0.90223,0.75585,1,0.995,0.79641,0.68279,2.47322,0.98302,0.00020423,0.00020423,0.00020423
15,86.2965,0.47494,0.45712,0.88856,0.78161,1,0.995,0.75851,0.71111,2.86677,0.98685,0.00021532,0.00021532,0.00021532
16,92.2986,0.55895,0.54134,0.94816,0.74526,1,0.995,0.75045,0.72096,2.81148,0.9974,0.00022575,0.00022575,0.00022575
17,98.2349,0.55984,0.692,1.00682,0.77263,1,0.995,0.77811,0.69437,2.45659,1.00572,0.00023552,0.00023552,0.00023552
18,103.894,0.52176,0.54381,0.87803,0.77263,1,0.995,0.77811,0.69437,2.45659,1.00572,0.00024463,0.00024463,0.00024463
19,109.79,0.5006,0.5658,0.88706,0.87712,1,0.995,0.72117,0.68111,1.90322,1.04628,0.00025308,0.00025308,0.00025308
20,115.659,0.52334,0.50865,0.90673,0.87712,1,0.995,0.72117,0.68111,1.90322,1.04628,0.00026087,0.00026087,0.00026087
21,121.489,0.52534,0.55021,0.86752,0.89173,1,0.995,0.72166,0.85257,1.30769,1.23406,0.000268,0.000268,0.000268
22,127.428,0.52468,0.52224,0.89381,0.89173,1,0.995,0.72166,0.85257,1.30769,1.23406,0.00027447,0.00027447,0.00027447
